Class,pepM,aepY,phpC,mpnS,hepD,palA,phnA,phnW,phnX,phnY,phnZ,phnI,phnJ,phnM
Deltaproteobacteria,0.0234375,0.008230453,0.019230769,0,0,0,0.053571429,0.047085202,0.049535604,0.018518519,0.014869888,0.043678161,0.044917258,0.031724138
Elusimicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epsilonproteobacteria,0.00390625,0.004115226,0.009615385,0,0,0,0,0,0,0,0,0.009195402,0.009456265,0.005517241
Erysipelotrichia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fibrobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacteriia,0.01171875,0.012345679,0,0.041666667,0,0,0.013392857,0.00896861,0,0.018518519,0,0,0,0
Fusobacteriia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gammaproteobacteria,0.140625,0.135802469,0.125,0.083333333,0,0,0.017857143,0.378923767,0.482972136,0,0.091078067,0.128735632,0.132387707,0.08137931
Gemmatimonadetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halobacteria,0,0,0,0,0,0,0.004464286,0,0,0,0,0.002298851,0.002364066,0.002758621
Ignavibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ktedonobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longimicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanomicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negativicutes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitriliruptoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrospinia,0.0078125,0.012345679,0,0,0,0,0,0.004484305,0,0,0,0,0,0
Nitrospira,0.00390625,0.004115226,0,0,0,0,0,0.002242152,0,0,0,0,0,0
Oligoflexia,0.00390625,0.004115226,0,0,0,0.125,0,0.004484305,0,0,0,0,0,0
Opitutae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phycisphaerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planctomycetia,0,0,0,0,0,0,0.017857143,0.011210762,0.00619195,0.024691358,0.011152416,0,0,0
Saprospiria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingobacteria,0,0,0,0,0,0,0,0,0.003095975,0,0,0,0,0
Sphingobacteriia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spirochaetia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synergistia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermomicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermoplasmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermotogae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tissierellia,0,0,0,0,0,0,0,0,0,0,0,0.002298851,0.002364066,0.00137931
Verrucomicrobiae,0.00390625,0.004115226,0,0,0,0,0.004464286,0.002242152,0,0.00617284,0.001858736,0,0,0
Zetaproteobacteria,0,0,0,0,0,0,0,0,0,0,0,0.002298851,0.002364066,0.00137931
candidate division NC10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Actinobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Archaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Armatimonadetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Bacteria,0.015625,0.012345679,0.009615385,0,0,0,0.008928571,0.00896861,0.009287926,0.00617284,0.001858736,0,0,0
unclassified Bacteroidetes,0,0,0,0,0,0,0,0.006726457,0,0,0.020446097,0,0,0
unclassified Chlorobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Chloroflexi,0.00390625,0.008230453,0,0.083333333,0,0,0.004464286,0,0,0,0.001858736,0,0,0
unclassified Crenarchaeota,0.01953125,0.028806584,0.067307692,0.125,0,0,0,0,0,0,0,0,0,0
unclassified Elusimicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Fibrobacteres,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Firmicutes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Gemmatimonadetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Ignavibacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Kiritimatiellaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Lentisphaerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Nitrospinae,0.0078125,0.008230453,0,0,0,0,0,0.006726457,0,0,0,0,0,0
unclassified Nitrospirae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Planctomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Proteobacteria,0.0078125,0.008230453,0,0,0,0,0.004464286,0.006726457,0.003095975,0,0,0,0,0
unclassified Spirochaetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Synergistetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Tenericutes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Thaumarchaeota,0.0078125,0.065843621,0.028846154,0.166666667,0,0,0,0,0,0,0,0,0,0
unclassified Verrucomicrobia,0,0,0.009615385,0.041666667,0,0,0.004464286,0.00896861,0,0.00617284,0.003717472,0,0,0
