Class,pepM,aepY,phpC,mpnS,hepD,palA,phnA,phnW,phnX,phnY,phnZ,phnI,phnJ,phnM
Clostridia,0.004273504,0.004329004,0.00990099,0,0,0,0,0.002785515,0.004405286,0,0,0.003623188,0.003861004,0.001808318
Coriobacteriia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteriia,0.089743589,0.103896104,0.108910891,0.043478261,0.083333333,0,0.035460993,0.011142062,0,0,0.081841432,0.018115942,0.019305019,0.016274864
Cytophagia,0.004273504,0.004329004,0,0,0,0,0,0.008356546,0,0,0.020460358,0,0,0
Deferribacteres,0.008547009,0.008658009,0.00990099,0,0,0,0,0,0,0,0,0,0,0
Dehalococcoidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deinococci,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deltaproteobacteria,0.025641026,0.008658009,0.01980198,0,0,0,0.078014184,0.052924791,0.066079295,0.04109589,0.020460358,0.06884058,0.069498069,0.04159132
Elusimicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epsilonproteobacteria,0.004273504,0.004329004,0.00990099,0,0,0,0,0,0,0,0,0.010869565,0.007722008,0.005424955
Erysipelotrichia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fibrobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacteriia,0.012820513,0.012987013,0,0.043478261,0,0,0.021276596,0.011142061,0,0.04109589,0,0,0,0
Fusobacteriia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gammaproteobacteria,0.141025641,0.134199134,0.118811881,0.086956522,0,0,0.028368794,0.373259053,0.577092511,0,0.117647059,0.177536232,0.189189189,0.09403255
Gemmatimonadetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halobacteria,0,0,0,0,0,0,0.007092199,0,0,0,0,0.003623188,0.003861004,0.001808318
Ignavibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ktedonobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longimicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanomicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negativicutes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitriliruptoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrospinia,0.008547009,0.012987013,0,0,0,0,0,0.005571031,0,0,0,0,0,0
Nitrospira,0.004273504,0.004329004,0,0,0,0,0,0.002785515,0,0,0,0,0,0
Oligoflexia,0,0,0,0,0,0.125,0,0.005571031,0,0,0,0,0,0
Opitutae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phycisphaerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planctomycetia,0,0,0,0,0,0,0.021276596,0.013927577,0,0.04109589,0.010230179,0,0,0
Saprospiria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingobacteria,0,0,0,0,0,0,0,0,0.004405286,0,0,0,0,0
Sphingobacteriia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spirochaetia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synergistia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermomicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermoplasmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermotogae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tissierellia,0,0,0,0,0,0,0,0,0,0,0,0.003623188,0.003861004,0.001808318
Verrucomicrobiae,0.004273504,0.004329004,0,0,0,0,0.007092199,0.002785515,0,0.01369863,0.002557545,0,0,0
Zetaproteobacteria,0,0,0,0,0,0,0,0,0,0,0,0.003623188,0.003861004,0.001808318
candidate division NC10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Actinobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Archaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Armatimonadetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Bacteria,0.017094017,0.012987013,0.00990099,0,0,0,0.014184397,0.011142061,0.013215859,0.01369863,0.002557545,0,0,0
unclassified Bacteroidetes,0,0,0,0,0,0,0,0.008356546,0,0,0.028132992,0,0,0
unclassified Chlorobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Chloroflexi,0.004273504,0.008658009,0,0.043478261,0,0,0.007092199,0,0,0,0.002557545,0,0,0
unclassified Crenarchaeota,0.021367521,0.03030303,0.069306931,0.130434783,0,0,0,0,0,0,0,0,0,0
unclassified Elusimicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Fibrobacteres,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Firmicutes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Gemmatimonadetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Ignavibacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Kiritimatiellaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Lentisphaerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Nitrospinae,0.008547009,0.008658009,0,0,0,0,0,0.008356546,0,0,0,0,0,0
unclassified Nitrospirae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Planctomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Proteobacteria,0.008547009,0.008658009,0,0,0,0,0.007092199,0.008356546,0.004405286,0,0,0,0,0
unclassified Spirochaetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Synergistetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Tenericutes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Thaumarchaeota,0.042735043,0.008658009,0.01980198,0.173913043,0,0,0,0,0,0,0,0,0,0
unclassified Verrucomicrobia,0,0,0.00990099,0.043478261,0,0,0.007092199,0.005571031,0,0,0.00511509,0,0,0
