Class,pepM,aepY,phpC,mpnS,hepD,palA,phnA,phnW,phnX,phnY,phnZ,phnI,phnJ,phnM
unclassified Actinobacteria,0.002086811,0.002183406,0.002134472,0,0,0,0.000533333,0.002783964,0.002714441,0.000676133,0.0025,0.002995392,0.003055229,0.002073696
unclassified Archaea,0.001669449,0.002183406,0.003201708,0.054054054,0,0,0.000533333,0,0,0,0,0,0,0
unclassified Armatimonadetes,0,0,0,0,0,0,0,0,0,0,0.000357143,0,0,0
unclassified Bacteria,0.005008347,0.004803493,0.002134472,0,0,0,0.003733333,0.002598367,0.002442997,0.001352265,0.001785714,0.000230415,0.000235018,0.000159515
unclassified Bacteroidetes,0.001252087,0.001746725,0.003201708,0,0,0,0.0016,0.001484781,0.000271444,0.000676133,0.009642857,0.000460829,0.000470035,0.00031903
unclassified Chlorobi,0.000417362,0.000436681,0.001067236,0,0,0,0,0,0,0,0,0,0,0
unclassified Chloroflexi,0.001669449,0.002620087,0.001067236,0.054054054,0,0,0.004266667,0.000927988,0.000814332,0,0.000357143,0.000460829,0.000235018,0.00031903
unclassified Crenarchaeota,0.003338898,0.00349345,0.007470651,0.108108108,0,0,0,0,0,0,0,0,0,0
unclassified Elusimicrobia,0.001252087,0.001310044,0.003201708,0,0,0,0,0,0,0,0,0,0,0
unclassified Fibrobacteres,0.000417362,0.000436681,0,0,0,0,0,0.00074239,0.000814332,0,0,0,0,0
unclassified Firmicutes,0.009599332,0.009606987,0.005336179,0,0,0,0,0.005567929,0.004343105,0,0,0.003917051,0.003760282,0.002711756
unclassified Gemmatimonadetes,0,0.000436681,0,0,0,0,0.002666667,0.000371195,0.000542888,0.00270453,0.001785714,0,0,0
unclassified Ignavibacteriae,0,0,0,0,0,0,0,0.000185598,0.000271444,0,0,0,0,0
unclassified Kiritimatiellaeota,0,0,0,0,0,0,0,0.000371195,0.000271444,0,0,0,0,0.000159515
unclassified Lentisphaerae,0.002086811,0.002620087,0.004268943,0,0,0,0,0.000185598,0,0,0,0,0,0
unclassified Nitrospinae,0.002921536,0.002620087,0,0,0,0,0.000533333,0.002041574,0,0,0,0,0,0
unclassified Nitrospirae,0.000417362,0.000436681,0,0,0,0,0,0.000556793,0,0,0,0,0,0
unclassified Planctomycetes,0.001252087,0.001746725,0,0,0,0,0.002666667,0.002041574,0.002442997,0.003380663,0.0025,0,0,0
unclassified Proteobacteria,0.001669449,0.002183406,0.001067236,0,0,0,0.002666667,0.002227171,0.001628664,0.000676133,0.001071429,0.002995392,0.002820212,0.002552241
unclassified Spirochaetes,0.003338898,0.003930131,0.002134472,0,0,0,0,0.001484781,0,0,0,0.000691244,0.000940071,0.00031903
unclassified Synergistetes,0,0,0,0,0,0,0,0.000371195,0.000542888,0,0,0.000230415,0.000235018,0
unclassified Tenericutes,0,0.000436681,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Thaumarchaeota,0.011686144,0.016157205,0.025613661,0.189189189,0,0,0,0,0,0,0,0,0,0
unclassified Verrucomicrobia,0,0,0.002134472,0.027027027,0,0,0.0016,0.001113586,0.000542888,0.001352265,0.001071429,0,0,0
